"Regionale kerncijfers Nederland"
""
"";"";"Subject"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Verkeer en vervoer|Motorvoertuigen|Personenauto's, relatief";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land";"Lokalisering|Koppelvariabele regio (code)"
"Bedum";"2020";"";"";"";"";""
"Brook (L.)";"2020";"15865";"754";"600";"21.03";"GM0888"
"Brook and Donk";"2020";"";"";"";"";""
"Beekdaelen";"2020";"35938";"459";"601";"78.30";"GM1954"
"Beemster";"2020";"10022";"142";"521";"70.58";"GM0370"
"Beesel";"2020";"13482";"482";"529";"27.99";"GM0889"
"Beilen";"2020";"";"";"";"";""
"Belfeld";"2020";"";"";"";"";""
"Belling bet";"2020";"";"";"";"";""
"Bemmel";"2020";"";"";"";"";""
"Bennebroek";"2020";"";"";"";"";""
"Mountain and valley";"2020";"34992";"405";"523";"86.31";"GM1945"
"Mountain craft";"2020";"";"";"";"";""
"Bergeyk";"2020";"18635";"184";"577";"101.00";"GM1724"
"Bergen (L.)";"2020";"13085";"127";"592";"103.24";"GM0893"
"Bergen (NH)";"2020";"29839";"302";"532";"98.96";"GM0373"
"Bergen op Zoom";"2020";"67496";"844";"481";"79.96";"GM0748"
"Bergeyk";"2020";"";"";"";"";""
"Bergh";"2020";"";"";"";"";""
"Bergschenhoek";"2020";"";"";"";"";""
"Berkel and Rodenrijs";"2020";"";"";"";"";""
"Berkel-Enschot";"2020";"";"";"";"";""
"Berkelland";"2020";"43747";"170";"559";"258.06";"GM1859"
"Berlicum";"2020";"";"";"";"";""
"Bernheze";"2020";"31240";"348";"541";"89.73";"GM1721"
"Bernisse";"2020";"";"";"";"";""
"Best";"2020";"29988";"874";"518";"34.30";"GM0753"
"Beuningen";"2020";"25890";"593";"531";"43.65";"GM0209"
"Beverwijk";"2020";"41626";"2262";"463";"18.40";"GM0375"
"the Bildt";"2020";"";"";"";"";""
"De Bilt";"2020";"43137";"652";"490";"66.12";"GM0310"
"Inner Meuse";"2020";"";"";"";"";""
"Leaf";"2020";"20390";"271";"572";"75.33";"GM1728"
"Leaf and Nethersel";"2020";"";"";"";"";""
"Blaricum";"2020";"11540";"1038";"583";"11.11";"GM0376"
"Bleiswijk";"2020";"";"";"";"";""
"Bloemendaal";"2020";"23571";"592";"519";"39.79";"GM0377"
"Boarnsterhim";"2020";"";"";"";"";""
"Bodegraven";"2020";"";"";"";"";""
"Bodegraven-Reeuwijk";"2020";"34872";"463";"490";"75.38";"GM1901"
"Boekel";"2020";"10785";"313";"545";"34.51";"GM0755"
"Ten Boer";"2020";"";"";"";"";""
"Bolsward";"2020";"";"";"";"";""
"Borculo";"2020";"";"";"";"";""
"Borger";"2020";"";"";"";"";""
"Borger-Odoorn";"2020";"25559";"93";"598";"274.53";"GM1681"
"Born";"2020";"";"";"";"";""
"Borne";"2020";"23312";"897";"504";"26.00";"GM0147"
"Borsele";"2020";"22739";"161";"569";"141.57";"GM0654"
"Boskoop";"2020";"";"";"";"";""
"Boxmeer";"2020";"29365";"263";"541";"111.44";"GM0756"
"Boxtel";"2020";"30801";"483";"485";"63.73";"GM0757"
"Brakel";"2020";"";"";"";"";""
"Breda";"2020";"184069";"1464";"822";"125.74";"GM0758"
"Brederwiede";"2020";"";"";"";"";""
"Breukelen";"2020";"";"";"";"";""
"Brielle";"2020";"17271";"627";"557";"27.55";"GM0501"
"Pants houses";"2020";"";"";"";"";""
"Bronckhorst";"2020";"36055";"127";"596";"283.50";"GM1876"
"Brewers harbour";"2020";"";"";"";"";""
"Bruinisse";"2020";"";"";"";"";""
"Brumming";"2020";"20726";"248";"547";"83.65";"GM0213"
"Brunssum";"2020";"27821";"1613";"550";"17.25";"GM0899"
"Budel";"2020";"";"";"";"";""
"Bunnik";"2020";"15191";"411";"476";"36.97";"GM0312"
"Bunschoten";"2020";"21866";"720";"446";"30.38";"GM0313"
"Neighbors";"2020";"26749";"200";"588";"133.89";"GM0214"
"Bussum";"2020";"";"";"";"";""
"Chapel on the IJssel";"2020";"67122";"4747";"464";"14.14";"GM0502"
"Castricum";"2020";"35986";"724";"486";"49.68";"GM0383"
"Chaam";"2020";"";"";"";"";""
"Coevorden";"2020";"35297";"119";"550";"296.07";"GM0109"
"Cothen";"2020";"";"";"";"";""
"Cranendonck";"2020";"21138";"277";"567";"76.40";"GM1706"
"Cromstrijen";"2020";"";"";"";"";""
"Cuijk";"2020";"25130";"491";"536";"51.16";"GM1684"
"Culemborg";"2020";"28955";"989";"464";"29.29";"GM0216"
"Valleys";"2020";"";"";"";"";""
"Dalfsen";"2020";"28587";"173";"569";"165.07";"GM0148"
"Dantuma part";"2020";"";"";"";"";""
"Dantumadiel";"2020";"18922";"224";"520";"84.66";"GM1891"
"Delft";"2020";"103595";"4573";"320";"22.65";"GM0503"
"Delfzijl";"2020";"24678";"185";"505";"133.07";"GM0010"
"Denekamp";"2020";"";"";"";"";""
"Doorne";"2020";"32471";"278";"525";"116.93";"GM0762"
"Deventer";"2020";"100719";"771";"441";"130.68";"GM0150"
"Didam";"2020";"";"";"";"";""
"Diemen";"2020";"30780";"2566";"332";"11.99";"GM0384"
"Diepenheim";"2020";"";"";"";"";""
"Diepenveen";"2020";"";"";"";"";""
"Diessen";"2020";"";"";"";"";""
"Thief";"2020";"";"";"";"";""
"Dyke and Waard";"2020";"";"";"";"";""
"Dinkelland";"2020";"26461";"151";"557";"175.71";"GM1774"
"Dinteloord and Prinsenland";"2020";"";"";"";"";""
"Dinxperlo";"2020";"";"";"";"";""
"Dirkland";"2020";"";"";"";"";""
"Dead Ward";"2020";"";"";"";"";""
"Doesburg";"2020";"11077";"961";"520";"11.53";"GM0221"
"Doetinchem";"2020";"58001";"734";"530";"79.05";"GM0222"
"Domburg";"2020";"";"";"";"";""
"Dongen";"2020";"26222";"897";"543";"29.24";"GM0766"
"Dongeradeel";"2020";"";"";"";"";""
"Thorn";"2020";"";"";"";"";""
"Dordrecht";"2020";"119284";"1519";"488";"78.54";"GM0505"
"Drechtland";"2020";"19719";"335";"511";"58.89";"GM0498"
"Driebergen-Rijsenburg";"2020";"";"";"";"";""
"Drimmel";"2020";"27272";"287";"549";"95.18";"GM1719"
"Dronten";"2020";"41555";"125";"515";"333.57";"GM0303"
"Drunen";"2020";"";"";"";"";""
"Druten";"2020";"18926";"503";"534";"37.64";"GM0225"
"Devilland";"2020";"";"";"";"";""
"Pigeons";"2020";"25126";"741";"558";"33.90";"GM0226"
"The Dungen";"2020";"";"";"";"";""
"Duss";"2020";"";"";"";"";""
"Dwingeloo";"2020";"";"";"";"";""
"Real";"2020";"";"";"";"";""
"Really";"2020";"";"";"";"";""
"Really-Susteren";"2020";"31610";"307";"583";"103.07";"GM1711"
"Edam-Volendam";"2020";"36197";"666";"416";"54.33";"GM0385"
"Ede";"2020";"117165";"368";"488";"318.18";"GM0228"
"Eelde";"2020";"";"";"";"";""
"Eemnes";"2020";"9247";"298";"554";"31.04";"GM0317"
"Ems delta";"2020";"";"";"";"";""
"Eemsmouth";"2020";"";"";"";"";""
"First";"2020";"19313";"234";"578";"82.46";"GM0770"
"Egmond";"2020";"";"";"";"";""
"Eibergen";"2020";"";"";"";"";""
"Eijsden";"2020";"";"";"";"";""
"Eijsden-Margraten";"2020";"25768";"332";"568";"77.55";"GM1903"
"Eindhoven";"2020";"234394";"2674";"430";"87.66";"GM0772"
"Elburg";"2020";"23161";"363";"510";"63.82";"GM0230"
"Elst";"2020";"";"";"";"";""
"Emmen";"2020";"107048";"319";"524";"335.18";"GM0114"
"Enkhuizen";"2020";"18591";"1466";"432";"12.68";"GM0388"
"Enschede";"2020";"159640";"1134";"422";"140.83";"GM0153"
"Epe";"2020";"33178";"213";"547";"156.07";"GM0232"
"Ermelo";"2020";"27008";"315";"498";"85.63";"GM0233"
"Ash";"2020";"";"";"";"";""
"Etten-Leur";"2020";"43878";"793";"505";"55.30";"GM0777"
"Ferwerderadeel";"2020";"";"";"";"";""
"Ferwerderadiel";"2020";"";"";"";"";""
"Fijnaart and Heijningen";"2020";"";"";"";"";""
"Franekeradeel";"2020";"";"";"";"";""
"The Frisian Lakes";"2020";"";"";"";"";""
"The Fryske Marren";"2020";"51564";"147";"546";"351.29";"GM1940"
"Gaasterlân-Sleat";"2020";"";"";"";"";""
"Gasselt";"2020";"";"";"";"";""
"Gertruidenberg";"2020";"21544";"809";"530";"26.63";"GM0779"
"Geldermalsen";"2020";"";"";"";"";""
"Geldrop";"2020";"";"";"";"";""
"Geldrop-Mierlo";"2020";"39726";"1281";"540";"31.01";"GM1771"
"Geleen";"2020";"";"";"";"";""
"Gemert";"2020";"";"";"";"";""
"Gemert Bakel";"2020";"30723";"252";"537";"122.14";"GM1652"
"Gendring";"2020";"";"";"";"";""
"Ghent";"2020";"";"";"";"";""
"Genemuiden";"2020";"";"";"";"";""
"Gennep";"2020";"16921";"355";"558";"47.62";"GM0907"
"Giessen countries";"2020";"";"";"";"";""
"To pour";"2020";"";"";"";"";""
"Gilze and Rijen";"2020";"26431";"404";"536";"65.38";"GM0784"
"Goedereede";"2020";"";"";"";"";""
"Goeree-Overflakkee";"2020";"50049";"192";"531";"260.48";"GM1924"
"Goes";"2020";"38082";"411";"539";"92.58";"GM0664"
"Goirle";"2020";"23904";"556";"514";"42.99";"GM0785"
"Goose Lakes";"2020";"58055";"1396";"484";"41.59";"GM1942"
"disgusting";"2020";"";"";"";"";""
"Gorinchem";"2020";"37022";"1966";"453";"18.83";"GM0512"
"Gorssel";"2020";"";"";"";"";""
"Gouda";"2020";"73427";"4449";"382";"16.50";"GM0513"
"Digging current";"2020";"";"";"";"";""
"Graft-De Rijp";"2020";"";"";"";"";""
"Gramsbergen";"2020";"";"";"";"";""
"Grave";"2020";"12436";"457";"542";"27.18";"GM0786"
"'s Graveland";"2020";"";"";"";"";""
"'s-Gravendeel";"2020";"";"";"";"";""
"The Hague (municipality)";"2020";"545838";"6620";"358";"82.45";"GM0518"
"'s-Gravenmoer";"2020";"";"";"";"";""
"'s-Gravenzande";"2020";"";"";"";"";""
"Groenlo";"2020";"";"";"";"";""
"Groesbeek";"2020";"";"";"";"";""
"Groningen (municipality)";"2020";"232874";"1255";"399";"185.60";"GM0014"
"Grand guest";"2020";"";"";"";"";""
"Grubbenvorst";"2020";"";"";"";"";""
"gulp";"2020";"";"";"";"";""
"Gulpen-Wittem";"2020";"14171";"194";"578";"73.18";"GM1729"
"Haaksbergen";"2020";"24311";"232";"540";"104.82";"GM0158"
"hairs";"2020";"14370";"249";"562";"57.70";"GM0788"
"Haarlem";"2020";"162902";"5585";"381";"29.17";"GM0392"
"Haarlemmerliede and Spaarnwoude";"2020";"";"";"";"";""
"Haarlemmermeer";"2020";"156002";"790";"818";"197.48";"GM0394"
"Haelen";"2020";"";"";"";"";""
"Halderberge";"2020";"30284";"407";"553";"74.47";"GM1655"
"halter";"2020";"";"";"";"";""
"The Ham";"2020";"";"";"";"";""
"Hardenberg";"2020";"60948";"195";"531";"312.28";"GM0160"
"Harderwijk";"2020";"48414";"1245";"460";"38.89";"GM0243"
"Hardinxveld-Giessendam";"2020";"18295";"1082";"468";"16.91";"GM0523"
"Hair";"2020";"";"";"";"";""
"Harenkarspel";"2020";"";"";"";"";""
"Harlingen";"2020";"15722";"630";"461";"24.96";"GM0072"
"Harmelen";"2020";"";"";"";"";""
"Hasselt";"2020";"";"";"";"";""
"Hattem";"2020";"12209";"529";"503";"23.08";"GM0244"
"Havelte";"2020";"";"";"";"";""
"Hedel";"2020";"";"";"";"";""
"All";"2020";"";"";"";"";""
"Heemskerk";"2020";"39182";"1433";"479";"27.34";"GM0396"
"Heemstede";"2020";"27234";"2968";"486";"9.18";"GM0397"
"Lord";"2020";"18589";"236";"540";"78.74";"GM0246"
"Heerenveen";"2020";"50493";"266";"516";"190.09";"GM0074"
"Lord values";"2020";"";"";"";"";""
"Heerhugowaard";"2020";"57587";"1507";"479";"38.21";"GM0398"
"Heerjansdam";"2020";"";"";"";"";""
"Heerlen";"2020";"87086";"1938";"509";"44.94";"GM0917"
"Heesch";"2020";"";"";"";"";""
"Heeze";"2020";"";"";"";"";""
"Heeze-Leende";"2020";"16152";"155";"566";"104.02";"GM1658"
"Heiloo";"2020";"23968";"1282";"485";"18.70";"GM0399"
"Heino";"2020";"";"";"";"";""
"Heroes";"2020";"";"";"";"";""
"den Helder";"2020";"56296";"1244";"451";"45.25";"GM0400"
"Hellendoorn";"2020";"35916";"260";"550";"137.91";"GM0163"
"Hellevoetsluis";"2020";"40142";"977";"517";"41.10";"GM0530"
"Helmond";"2020";"92423";"1738";"474";"53.18";"GM0794"
"Helvoirt";"2020";"";"";"";"";""
"Hendrik-Ido-Ambacht";"2020";"31202";"2940";"469";"10.61";"GM0531"
"Hengelo (Gld.)";"2020";"";"";"";"";""
"Hengelo (O.)";"2020";"81140";"1334";"587";"60.84";"GM0164"
"'s Hertogenbosch";"2020";"155111";"1410";"524";"109.99";"GM0796"
"Heteren";"2020";"";"";"";"";""
"Heumen";"2020";"16454";"414";"522";"39.76";"GM0252"
"Heusden";"2020";"44692";"567";"544";"78.88";"GM0797"
"Heythuysen";"2020";"";"";"";"";""
"Hillegom";"2020";"22209";"1725";"520";"12.87";"GM0534"
"Hilvarenbeek";"2020";"15518";"164";"573";"94.85";"GM0798"
"Hilversum";"2020";"90831";"1991";"440";"45.61";"GM0402"
"Hoeksche Waard";"2020";"87401";"325";"534";"268.93";"GM1963"
"Hoevelaken";"2020";"";"";"";"";""
"Hooves";"2020";"";"";"";"";""
"Court of Twente";"2020";"35017";"165";"559";"212.56";"GM1735"
"The Highland";"2020";"47801";"99";"506";"482.75";"GM1966"
"Dutch Crown";"2020";"48432";"136";"546";"357.34";"GM1911"
"Holten";"2020";"";"";"";"";""
"Hontenisse";"2020";"";"";"";"";""
"High and Low Mierde";"2020";"";"";"";"";""
"High and Low Swallow";"2020";"";"";"";"";""
"Hoogeloon, Hapert and Casteren";"2020";"";"";"";"";""
"Hoogeveen";"2020";"55699";"437";"499";"127.54";"GM0118"
"Hoogezand-Sappemeer";"2020";"";"";"";"";""
"Horn";"2020";"73261";"3595";"451";"20.38";"GM0405"
"Horst";"2020";"";"";"";"";""
"Horst on the Maas";"2020";"42429";"225";"577";"188.73";"GM1507"
"Wooden";"2020";"50146";"913";"1253";"54.94";"GM0321"
"huijbergen";"2020";"";"";"";"";""
"Houses";"2020";"";"";"";"";""
"Houses";"2020";"41273";"2611";"531";"15.81";"GM0406"
"Holly";"2020";"27556";"137";"583";"201.71";"GM0677"
"Hummelo and Keppel";"2020";"";"";"";"";""
"Hunsel";"2020";"";"";"";"";""
"IJsselham";"2020";"";"";"";"";""
"IJsselmuiden";"2020";"";"";"";"";""
"IJsselstein";"2020";"34109";"1619";"449";"21.07";"GM0353"
"Jacobswoude";"2020";"";"";"";"";""
"Kaag and Braassem";"2020";"27297";"432";"523";"63.24";"GM1884"
"Struggling";"2020";"54319";"382";"429";"142.18";"GM0166"
"chapel";"2020";"12695";"342";"535";"37.13";"GM0678"
"Katwijk";"2020";"65753";"2657";"413";"24.75";"GM0537"
"Kerkrade";"2020";"45749";"2088";"520";"21.91";"GM0928"
"Kerkwijk";"2020";"";"";"";"";""
"Kessel";"2020";"";"";"";"";""
"Kesteren";"2020";"";"";"";"";""
"clunders";"2020";"";"";"";"";""
"Koggenland";"2020";"22749";"283";"532";"80.32";"GM1598"
"Kollumerland and Nieuwkruisland";"2020";"";"";"";"";""
"Korendijk";"2020";"";"";"";"";""
"Shrinking on the IJssel";"2020";"29526";"3841";"456";"7.69";"GM0542"
"Krimpenerwaard";"2020";"56319";"380";"489";"148.40";"GM1931"
"Laarbeek";"2020";"22523";"407";"547";"55,35";"GM1659"
"Land van Cuijk";"2020";"";"";"";"";""
"Landerd";"2020";"15730";"224";"572";"70,35";"GM1685"
"Landgraaf";"2020";"37445";"1523";"561";"24,58";"GM0882"
"Landsmeer";"2020";"11491";"510";"486";"22,53";"GM0415"
"Langbroek";"2020";"";"";"";"";""
"Langedijk";"2020";"28163";"1179";"520";"23,88";"GM0416"
"Lansingerland";"2020";"62384";"1168";"494";"53,42";"GM1621"
"Laren (NH.)";"2020";"11280";"909";"588";"12,41";"GM0417"
"Leek";"2020";"";"";"";"";""
"Leende";"2020";"";"";"";"";""
"Leerdam";"2020";"";"";"";"";""
"Leersum";"2020";"";"";"";"";""
"Leeuwarden";"2020";"124084";"521";"438";"238,38";"GM0080"
"Leeuwarderadeel";"2020";"";"";"";"";""
"Leiden";"2020";"125099";"5710";"314";"21,91";"GM0546"
"Leiderdorp";"2020";"27056";"2337";"476";"11,58";"GM0547"
"Leidschendam";"2020";"";"";"";"";""
"Leidschendam-Voorburg";"2020";"76534";"2351";"460";"32,55";"GM1916"
"Lelystad";"2020";"78598";"341";"458";"230,32";"GM0995"
"Lemsterland";"2020";"";"";"";"";""
"Leudal";"2020";"35879";"220";"587";"162,73";"GM1640"
"Leusden";"2020";"30401";"519";"510";"58,54";"GM0327"
"Lichtenvoorde";"2020";"";"";"";"";""
"Liemeer";"2020";"";"";"";"";""
"Liempde";"2020";"";"";"";"";""
"Lienden";"2020";"";"";"";"";""
"De Lier";"2020";"";"";"";"";""
"Lieshout";"2020";"";"";"";"";""
"Liesveld";"2020";"";"";"";"";""
"Limmen";"2020";"";"";"";"";""
"Lingewaal";"2020";"";"";"";"";""
"Lingewaard";"2020";"46601";"752";"513";"62,00";"GM1705"
"Lisse";"2020";"22955";"1463";"511";"15,69";"GM0553"
"Lith";"2020";"";"";"";"";""
"Littenseradiel";"2020";"";"";"";"";""
"Lochem";"2020";"33729";"158";"567";"213,03";"GM0262"
"Loenen";"2020";"";"";"";"";""
"Loon op Zand";"2020";"23408";"469";"546";"49,94";"GM0809"
"Loosdrecht";"2020";"";"";"";"";""
"Lopik";"2020";"14467";"191";"522";"75,57";"GM0331"
"Loppersum";"2020";"9537";"86";"541";"111,04";"GM0024"
"Losser";"2020";"22683";"230";"534";"98,76";"GM0168"
"Luyksgestel";"2020";"";"";"";"";""
"Maarheeze";"2020";"";"";"";"";""
"Maarn";"2020";"";"";"";"";""
"Maarssen";"2020";"";"";"";"";""
"Maartensdijk";"2020";"";"";"";"";""
"Maasbracht";"2020";"";"";"";"";""
"Maasbree";"2020";"";"";"";"";""
"Maasdonk";"2020";"";"";"";"";""
"Maasdriel";"2020";"25030";"379";"562";"66,11";"GM0263"
"Maasgouw";"2020";"23965";"524";"589";"45,71";"GM1641"
"Maashorst";"2020";"";"";"";"";""
"Maasland";"2020";"";"";"";"";""
"Maassluis";"2020";"33213";"3918";"455";"8,48";"GM0556"
"Maastricht";"2020";"121575";"2172";"373";"55,99";"GM0935"
"Made";"2020";"";"";"";"";""
"Made en Drimmelen";"2020";"";"";"";"";""
"Margraten";"2020";"";"";"";"";""
"Mariekerke";"2020";"";"";"";"";""
"Markelo";"2020";"";"";"";"";""
"De Marne";"2020";"";"";"";"";""
"Marum";"2020";"";"";"";"";""
"Maurik";"2020";"";"";"";"";""
"Medemblik";"2020";"45101";"371";"520";"121,42";"GM0420"
"Meerlo-Wanssum";"2020";"";"";"";"";""
"Meerssen";"2020";"18828";"698";"557";"26,96";"GM0938"
"Meierijstad";"2020";"81194";"441";"556";"184,09";"GM1948"
"Meijel";"2020";"";"";"";"";""
"Menaldumadeel";"2020";"";"";"";"";""
"Menameradiel";"2020";"";"";"";"";""
"Menterwolde";"2020";"";"";"";"";""
"Meppel";"2020";"33920";"611";"490";"55,53";"GM0119"
"Middelburg (Z.)";"2020";"48822";"1008";"466";"48,42";"GM0687"
"Middelharnis";"2020";"";"";"";"";""
"Midden-Delfland";"2020";"19341";"410";"477";"47,19";"GM1842"
"Midden-Drenthe";"2020";"33185";"97";"557";"340,51";"GM1731"
"Midden-Groningen";"2020";"60797";"217";"527";"280,00";"GM1952"
"Middenschouwen";"2020";"";"";"";"";""
"Middenveld";"2020";"";"";"";"";""
"Mierlo";"2020";"";"";"";"";""
"Mill en Sint Hubert";"2020";"10939";"209";"603";"52,23";"GM0815"
"Millingen aan de Rijn";"2020";"";"";"";"";""
"Moerdijk";"2020";"37129";"233";"575";"159,15";"GM1709"
"Moergestel";"2020";"";"";"";"";""
"Molenlanden";"2020";"43909";"242";"520";"181,73";"GM1978"
"Molenwaard";"2020";"";"";"";"";""
"Monster";"2020";"";"";"";"";""
"Montferland";"2020";"36011";"341";"551";"105,70";"GM1955"
"Montfoort";"2020";"13917";"370";"497";"37,57";"GM0335"
"Mook en Middelaar";"2020";"7847";"451";"575";"17,38";"GM0944"
"Moordrecht";"2020";"";"";"";"";""
"Muiden";"2020";"";"";"";"";""
"Naaldwijk";"2020";"";"";"";"";""
"Naarden";"2020";"";"";"";"";""
"Neder-Betuwe";"2020";"24339";"406";"495";"59,98";"GM1740"
"Nederhorst den Berg";"2020";"";"";"";"";""
"Nederlek";"2020";"";"";"";"";""
"Nederweert";"2020";"17019";"170";"593";"99,98";"GM0946"
"Neede";"2020";"";"";"";"";""
"Neerijnen";"2020";"";"";"";"";""
"Niedorp";"2020";"";"";"";"";""
"Nieuwegein";"2020";"63462";"2700";"499";"23,51";"GM0356"
"Nieuwerkerk aan den IJssel";"2020";"";"";"";"";""
"Nieuw-Ginneken";"2020";"";"";"";"";""
"Nieuwkoop";"2020";"28811";"369";"534";"78,05";"GM0569"
"Nieuw-Lekkerland";"2020";"";"";"";"";""
"Nieuwleusen";"2020";"";"";"";"";""
"Nieuw-Vossemeer";"2020";"";"";"";"";""
"Nijefurd";"2020";"";"";"";"";""
"Nijeveen";"2020";"";"";"";"";""
"Nijkerk";"2020";"43171";"623";"504";"69,34";"GM0267"
"Nijmegen";"2020";"177659";"3346";"382";"53,09";"GM0268"
"Nissewaard";"2020";"85219";"1158";"479";"73,58";"GM1930"
"Noardeast-Fryslân";"2020";"45228";"120";"518";"377,83";"GM1970"
"Noord-Beveland";"2020";"7392";"86";"594";"85,96";"GM1695"
"Noordenveld";"2020";"31253";"157";"555";"199,41";"GM1699"
"Noorder-Koggenland";"2020";"";"";"";"";""
"Noordoostpolder";"2020";"47291";"103";"512";"458,17";"GM0171"
"Noordwijk";"2020";"43508";"745";"499";"58,37";"GM0575"
"Noordwijkerhout";"2020";"";"";"";"";""
"Nootdorp";"2020";"";"";"";"";""
"Norg";"2020";"";"";"";"";""
"Nuenen, Gerwen en Nederwetten";"2020";"23383";"694";"556";"33,71";"GM0820"
"Nunspeet";"2020";"27851";"216";"498";"128,74";"GM0302"
"Nuth";"2020";"";"";"";"";""
"Obdam";"2020";"";"";"";"";""
"Odoorn";"2020";"";"";"";"";""
"Oegstgeest";"2020";"24840";"3399";"428";"7,31";"GM0579"
"Oirschot";"2020";"18714";"184";"573";"101,78";"GM0823"
"Oisterwijk";"2020";"26245";"411";"534";"63,84";"GM0824"
"Oldambt";"2020";"38209";"169";"527";"226,66";"GM1895"
"Oldebroek";"2020";"23646";"242";"495";"97,65";"GM0269"
"Oldenzaal";"2020";"31836";"1477";"506";"21,55";"GM0173"
"Olst";"2020";"";"";"";"";""
"Olst-Wijhe";"2020";"18252";"160";"532";"113,84";"GM1773"
"Ommen";"2020";"18009";"100";"540";"179,90";"GM0175"
"Onderbanken";"2020";"";"";"";"";""
"Oost Gelre";"2020";"29627";"270";"540";"109,93";"GM1586"
"Oost-, West- en Middelbeers";"2020";"";"";"";"";""
"Oostburg";"2020";"";"";"";"";""
"Oosterhesselen";"2020";"";"";"";"";""
"Oosterhout";"2020";"55982";"783";"547";"71,47";"GM0826"
"Oostflakkee";"2020";"";"";"";"";""
"Ooststellingwerf";"2020";"25469";"114";"553";"223,42";"GM0085"
"Oostzaan";"2020";"9735";"845";"510";"11,53";"GM0431"
"Ootmarsum";"2020";"";"";"";"";""
"Opmeer";"2020";"11836";"285";"545";"41,50";"GM0432"
"Opsterland";"2020";"29733";"132";"548";"224,40";"GM0086"
"Oss";"2020";"91915";"563";"518";"163,16";"GM0828"
"Ossendrecht";"2020";"";"";"";"";""
"Oud en Nieuw Gastel";"2020";"";"";"";"";""
"Oud-Beijerland";"2020";"";"";"";"";""
"Oude IJsselstreek";"2020";"39388";"289";"539";"136,15";"GM1509"
"Oudenbosch";"2020";"";"";"";"";""
"Ouder-Amstel";"2020";"14026";"583";"496";"24,08";"GM0437"
"Ouderkerk";"2020";"";"";"";"";""
"Oudewater";"2020";"10230";"263";"499";"38,90";"GM0589"
"Overbetuwe";"2020";"47906";"439";"553";"109,19";"GM1734"
"Papendrecht";"2020";"32136";"3414";"490";"9,41";"GM0590"
